time,mobile,com_pump,mor_st_bulb,mor_st_wm,kit_ref,kit_tube,kit_bulb,kit_fm,kit_wp,li_tube,li_bulb,room_tube,room_bulb,temple,ms_ref,ms_others,street_light,telecom_tower,hh_pump_w,hh_pump_s,hh_pump_m,ms_heater_s,ms_heater_w,ms_heater_m,ki_fan_s,ki_fan_w,ki_fan_m,li_fan_s,li_fan_w,li_fan_m,li_ac_s,li_ac_w,li_ac_m,room_fan_s,room_fan_w,room_fan_m,shop_bulb,shop_fan_s,shop_fan_w,shop_fan_m,shop_ref,shop_fm,shop_tm,school_fan_M_Su,school_tube_M_Su,school_com_M_Su,school_tv_M_Su,school_sat,school_sun,pa_off_mon_sun,pa_off_sat,pa_off_sun,po_off_mon_sun,po_off_sat,po_off_sun,li_tv_sun,li_tv_mon,li_tv_tue,li_tv_wed,li_tv_thu,li_tv_fri,li_tv_sat,agri_pump_jan_erly,agri_pump_jan_late,agri_pump_feb,agri_pump_mar,agri_pump_apr,agri_pump_may,agri_pump_jun,agri_pump_jul_erly,agri_pump_jul_late,agri_pump_aug,agri_pump_sup,agri_pump_oct,agri_pump_nov,agri_pump_dec
@10,1,0.2336448598,0,0.1,0.06,0,0,0.014,0.048,0,0,0,0,0.5,0.04,0.5,0,1,0.1,0.1,0.1,0,0.001,0.001,0.2,0.1,0.1,1,1,0.7,0,0,0,0.02,0.01,0.01,0,1,1,0,0.5,1,1,1,0.5,1,0.1,0,0.8,1,1,1,1,1,1,0.6,0.35,0.25,0.4,0.2,0.3,0.5,17,8,8,4,2,1,1,12,3,3,3,12,12,12
@11,1,0,0,0,0.06,0,0,0,0.048,0,0,0,0,0.5,0.03,0,0,1,0,0,0,0,0,0,0.25,0.2,0.125,1,1,0.7,0,0,0,0.02,0.01,0.01,0,1,1,1,0.5,1,1,1,0.5,1,0.1,0,0.8,1,1,1,1,1,1,0.5,0.6,0.7,0.8,0.5,0.6,1,15,8,8,5,2,2,1,15,3,3,3,15,15,15
@12,1,0,0,0,0.033,0,0,0,0.048,0,0,0,0,0.5,0.03,0,0,1,0,0,0,0,0,0,0.25,0.2,0.125,1,1,0.7,0.02,0,0,0.02,0.01,0.01,0,1,1,1,0.5,1,1,1,0.5,1,0.1,0,0.8,1,1,1,1,1,1,0.5,0.7,0.6,0.5,0.8,0.6,0.6,17,6,6,6,3,1,1,14,3,3,3,14,14,14
@13,1,0,0,0,0.03,0,0,0,0.008,0,0,0,0,0.5,0.03,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.7,0.47,0,0,0.02,0.01,0.01,0,0,0,0,0.1,0,1,1,0.5,1,1,0,0,1,1,1,1,1,1,0.6,0.1,0.1,0.1,0.1,0.1,0.5,17,8,8,5,2,2,1,13,3,3,3,13,13,13
@14,1.5,0,0,0,0.03,0,0,0,0.008,0,0,0,0,0.05,0.03,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.7,0.47,0,0,0.02,0.01,0.01,0,0,0,0,0.1,0,1,1,0.5,1,0.1,0.8,0.8,1,1,1,1,1,1,0.5,0.1,0.1,0.1,0.1,0.1,0.6,17,7,7,5,2,1,1,17,3,3,3,17,17,17
@15,1.5,0,0,0,0.06,0,0,0.014,0.048,0,0,0,0,0.05,0.03,0,0,1,0,0,0,0,0,0,0.5,0.4,0.25,1,1,0.7,0.02,0,0,0.02,0.01,0.01,0,0,0,0,0.1,0,1,1,0.5,1,0.1,0.8,0.8,1,1,1,1,1,1,0.5,0.3,0.2,0.25,0.25,0.35,0.6,16,8,8,6,3,3,1,15,3,3,3,15,15,15
@16,1,0,0,0,0.033,0.1,0,0.014,0.048,0,0,0,0,0.05,0.04,0,0,1,0,0,0,0,0,0,0.4,0.3,0.2,1,1,0.7,0,0,0,0.02,0.01,0.01,0,1,1,1,0.5,1,1,1,0.5,1,0.1,0.8,0.8,1,1,1,0,0,0,0.6,0.4,0.3,0.25,0.35,0.2,0.5,17,6,6,5,3,3,1,16,3,3,3,16,16,16
@17,1,0,0,0,0.06,0.5,0.3,0.014,0.08,0.05,0.05,0.05,0.05,0.5,0.06,1,0,1,0,0,0,0,0,0,0.7,0.6,0.3,1,0.5,0.5,0,0,0,0.02,0.01,0.01,0,1,1,1,0.5,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0.5,0.2,0.4,0.3,0.4,0.45,0.6,17,8,8,5,1,1,1,14,3,3,3,14,14,14
@18,1,0,0,0,0.06,1,0.5,0,0.048,0.1,0.1,0.1,0.1,0.5,0.06,1,0,1,0,0,0,0,0,0,0.7,0.6,0,1,0,0.3,0,0,0,0.02,0.01,0.01,0,1,0,1,0.5,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0.6,0.4,0.35,0.2,0.3,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@19,1,0,0,0,0.033,1,1,0,0.048,0.6,0.6,0.6,0.6,0.7,0.06,1,1,1,0,0,0,0,0,0,0.5,0.4,0,1,0,0.3,0,0,0,0.02,0.01,0.01,1,1,0,1,0.5,1,1,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.5,0.7,0.7,0.7,0.7,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@20,1,0,0,0,0.06,1,1,0,0.08,0.7,0.7,0.7,0.7,0.7,0.06,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.3,0,0,0,0.02,0,0,1,1,0,0,0.5,1,1,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.6,0.7,0.7,0.7,0.7,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@21,1,0,0,0,0.033,1,1,0,0.048,0.8,0.8,0.8,0.8,0.7,0.04,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.5,0.7,0.7,0.7,0.7,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@22,0.5,0,0,0,0.03,0,0,0,0.008,0,0.05,0,0,0,0.03,0,1,1,0,0,0,0,0,0,0,0,0,0.85,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.6,0.05,0.05,0.05,0.05,0.05,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@23,0.5,0,0,0,0.03,0,0,0,0.008,0,0.05,0,0,0,0.03,0,1,1,0,0,0,0,0,0,0,0,0,0.85,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.2,0.05,0.05,0.05,0.05,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
